Time,Glucose,Acetate,DW
0.0,90.36187064603101,0.10958103297330302,
0.5,90.42667486394402,0.18729288832131002,
1.0,89.57073727432802,0.4685112993703501,
1.5,88.67261170392301,0.5872784389647302,
2.0,85.320624405564,0.8723677059830702,0.33599999999999
2.5,84.31289707063502,1.2432203537414401,
3.0,84.96267896031301,1.8921381871806,
3.5,83.38998062492101,2.4550505301618,
4.0,83.30777930152802,3.354857820763201,0.824000000000001
4.5,82.60493624013601,4.160662751421,1.0539999999999963
5.0,78.35221380555001,4.984952106651301,1.5480000000000018
5.5,72.22495325549401,5.639924132797502,
6.0,66.27514318133402,7.060716742173301,2.383999999999992
6.5,58.48037007102001,8.69855274,3.3679999999999835
7.0,47.992959960039,11.148210167463002,4.302999999999997
7.5,33.99864132639961,15.568524718173004,5.300999999999999
8.0,9.243778025743202,11.493629696768402,7.630999999999995
8.5,0.18628907533511402,10.302101942443201,9.033000000000015
9.0,0.20577774782144703,2.1002365638972007,
9.5,0.17025155364837602,0.05675834658025801,
10.0,0.19101586889403005,0.03764762621047801,8.84799999999998
10.5,0.19088147625419705,0.03420560889126001,
11.0,0.22064748880284002,0.038400775901883004,
11.5,0.24528787914943803,0.03407034639615301,8.741000000000009
12.0,0.26730435106201506,0.036958120929954,
12.5,0.27065111922873003,0.03812749636996801,8.23699999999999
